Id,Label,fips,Modularity Class
0,"Autauga County, Alabama",01001,9
1,"Baldwin County, Alabama",01003,9
2,"Barbour County, Alabama",01005,9
3,"Bibb County, Alabama",01007,9
4,"Blount County, Alabama",01009,9
5,"Bullock County, Alabama",01011,9
6,"Butler County, Alabama",01013,9
7,"Calhoun County, Alabama",01015,9
8,"Chambers County, Alabama",01017,9
9,"Cherokee County, Alabama",01019,2
10,"Chilton County, Alabama",01021,9
11,"Choctaw County, Alabama",01023,9
12,"Clarke County, Alabama",01025,9
13,"Clay County, Alabama",01027,9
14,"Cleburne County, Alabama",01029,2
15,"Coffee County, Alabama",01031,9
16,"Colbert County, Alabama",01033,9
17,"Conecuh County, Alabama",01035,9
18,"Coosa County, Alabama",01037,9
19,"Covington County, Alabama",01039,9
20,"Crenshaw County, Alabama",01041,9
21,"Cullman County, Alabama",01043,9
22,"Dale County, Alabama",01045,9
23,"Dallas County, Alabama",01047,9
24,"DeKalb County, Alabama",01049,9
25,"Elmore County, Alabama",01051,9
26,"Escambia County, Alabama",01053,9
27,"Etowah County, Alabama",01055,9
28,"Fayette County, Alabama",01057,9
29,"Franklin County, Alabama",01059,9
30,"Geneva County, Alabama",01061,9
31,"Greene County, Alabama",01063,9
32,"Hale County, Alabama",01065,9
33,"Henry County, Alabama",01067,9
34,"Houston County, Alabama",01069,9
35,"Jackson County, Alabama",01071,9
36,"Jefferson County, Alabama",01073,9
37,"Lamar County, Alabama",01075,9
38,"Lauderdale County, Alabama",01077,9
39,"Lawrence County, Alabama",01079,9
40,"Lee County, Alabama",01081,9
41,"Limestone County, Alabama",01083,9
42,"Lowndes County, Alabama",01085,9
43,"Macon County, Alabama",01087,9
44,"Madison County, Alabama",01089,9
45,"Marengo County, Alabama",01091,9
46,"Marion County, Alabama",01093,9
47,"Marshall County, Alabama",01095,9
48,"Mobile County, Alabama",01097,9
49,"Monroe County, Alabama",01099,9
50,"Montgomery County, Alabama",01101,9
51,"Morgan County, Alabama",01103,9
52,"Perry County, Alabama",01105,9
53,"Pickens County, Alabama",01107,9
54,"Pike County, Alabama",01109,9
55,"Randolph County, Alabama",01111,9
56,"Russell County, Alabama",01113,9
57,"St. Clair County, Alabama",01115,9
58,"Shelby County, Alabama",01117,9
59,"Sumter County, Alabama",01119,10
60,"Talladega County, Alabama",01121,9
61,"Tallapoosa County, Alabama",01123,9
62,"Tuscaloosa County, Alabama",01125,9
63,"Walker County, Alabama",01127,9
64,"Washington County, Alabama",01129,9
65,"Wilcox County, Alabama",01131,9
66,"Winston County, Alabama",01133,9
67,"Anchorage Municipality, Alaska",02020,49
68,"Fairbanks North Star Borough, Alaska",02090,49
69,"Hoonah-Angoon Census Area, Alaska",02105,50
70,"Kenai Peninsula Borough, Alaska",02122,49
71,"Matanuska-Susitna Borough, Alaska",02170,49
72,"Apache County, Arizona",04001,0
73,"Cochise County, Arizona",04003,0
74,"Coconino County, Arizona",04005,0
75,"Gila County, Arizona",04007,0
76,"Graham County, Arizona",04009,0
77,"Greenlee County, Arizona",04011,0
78,"Maricopa County, Arizona",04013,0
79,"Mohave County, Arizona",04015,0
80,"Navajo County, Arizona",04017,0
81,"Pima County, Arizona",04019,0
82,"Pinal County, Arizona",04021,0
83,"Santa Cruz County, Arizona",04023,0
84,"Yavapai County, Arizona",04025,0
85,"Yuma County, Arizona",04027,0
86,"Arkansas County, Arkansas",05001,32
87,"Ashley County, Arkansas",05003,7
88,"Baxter County, Arkansas",05005,20
89,"Benton County, Arkansas",05007,20
90,"Boone County, Arkansas",05009,20
91,"Bradley County, Arkansas",05011,32
92,"Calhoun County, Arkansas",05013,7
93,"Carroll County, Arkansas",05015,20
94,"Chicot County, Arkansas",05017,32
95,"Clark County, Arkansas",05019,32
96,"Clay County, Arkansas",05021,12
97,"Cleburne County, Arkansas",05023,32
98,"Cleveland County, Arkansas",05025,32
99,"Columbia County, Arkansas",05027,7
100,"Conway County, Arkansas",05029,32
101,"Craighead County, Arkansas",05031,12
102,"Crawford County, Arkansas",05033,32
103,"Crittenden County, Arkansas",05035,30
104,"Cross County, Arkansas",05037,30
105,"Dallas County, Arkansas",05039,7
106,"Desha County, Arkansas",05041,32
107,"Drew County, Arkansas",05043,32
108,"Faulkner County, Arkansas",05045,32
109,"Franklin County, Arkansas",05047,32
110,"Fulton County, Arkansas",05049,32
111,"Garland County, Arkansas",05051,32
112,"Grant County, Arkansas",05053,32
113,"Greene County, Arkansas",05055,12
114,"Hempstead County, Arkansas",05057,32
115,"Hot Spring County, Arkansas",05059,32
116,"Howard County, Arkansas",05061,32
117,"Independence County, Arkansas",05063,32
118,"Izard County, Arkansas",05065,32
119,"Jackson County, Arkansas",05067,32
120,"Jefferson County, Arkansas",05069,32
121,"Johnson County, Arkansas",05071,32
122,"Lafayette County, Arkansas",05073,7
123,"Lawrence County, Arkansas",05075,12
124,"Lee County, Arkansas",05077,30
125,"Lincoln County, Arkansas",05079,32
126,"Little River County, Arkansas",05081,32
127,"Logan County, Arkansas",05083,32
128,"Lonoke County, Arkansas",05085,32
129,"Madison County, Arkansas",05087,20
130,"Marion County, Arkansas",05089,20
131,"Miller County, Arkansas",05091,32
132,"Mississippi County, Arkansas",05093,12
133,"Monroe County, Arkansas",05095,32
134,"Montgomery County, Arkansas",05097,32
135,"Nevada County, Arkansas",05099,32
136,"Newton County, Arkansas",05101,20
137,"Ouachita County, Arkansas",05103,7
138,"Perry County, Arkansas",05105,32
139,"Phillips County, Arkansas",05107,30
140,"Pike County, Arkansas",05109,32
141,"Poinsett County, Arkansas",05111,12
142,"Polk County, Arkansas",05113,32
143,"Pope County, Arkansas",05115,32
144,"Prairie County, Arkansas",05117,32
145,"Pulaski County, Arkansas",05119,32
146,"Randolph County, Arkansas",05121,12
147,"St. Francis County, Arkansas",05123,30
148,"Saline County, Arkansas",05125,32
149,"Scott County, Arkansas",05127,32
150,"Searcy County, Arkansas",05129,20
151,"Sebastian County, Arkansas",05131,32
152,"Sevier County, Arkansas",05133,32
153,"Sharp County, Arkansas",05135,32
154,"Union County, Arkansas",05139,7
155,"Van Buren County, Arkansas",05141,32
156,"Washington County, Arkansas",05143,20
157,"White County, Arkansas",05145,32
158,"Woodruff County, Arkansas",05147,32
159,"Yell County, Arkansas",05149,32
160,"Alameda County, California",06001,13
161,"Amador County, California",06005,13
162,"Butte County, California",06007,13
163,"Calaveras County, California",06009,13
164,"Colusa County, California",06011,13
165,"Contra Costa County, California",06013,13
166,"Del Norte County, California",06015,13
167,"El Dorado County, California",06017,13
168,"Fresno County, California",06019,0
169,"Glenn County, California",06021,13
170,"Humboldt County, California",06023,13
171,"Imperial County, California",06025,0
172,"Inyo County, California",06027,13
173,"Kern County, California",06029,0
174,"Kings County, California",06031,0
175,"Lake County, California",06033,13
176,"Lassen County, California",06035,13
177,"Los Angeles County, California",06037,0
178,"Madera County, California",06039,0
179,"Marin County, California",06041,13
180,"Mariposa County, California",06043,13
181,"Mendocino County, California",06045,13
182,"Merced County, California",06047,13
183,"Modoc County, California",06049,13
184,"Mono County, California",06051,13
185,"Monterey County, California",06053,13
186,"Napa County, California",06055,13
187,"Nevada County, California",06057,13
188,"Orange County, California",06059,0
189,"Placer County, California",06061,13
190,"Plumas County, California",06063,13
191,"Riverside County, California",06065,0
192,"Sacramento County, California",06067,13
193,"San Benito County, California",06069,13
194,"San Bernardino County, California",06071,0
195,"San Diego County, California",06073,0
196,"San Francisco County, California",06075,13
197,"San Joaquin County, California",06077,13
198,"San Luis Obispo County, California",06079,0
199,"San Mateo County, California",06081,13
200,"Santa Barbara County, California",06083,0
201,"Santa Clara County, California",06085,13
202,"Santa Cruz County, California",06087,13
203,"Shasta County, California",06089,13
204,"Sierra County, California",06091,13
205,"Siskiyou County, California",06093,13
206,"Solano County, California",06095,13
207,"Sonoma County, California",06097,13
208,"Stanislaus County, California",06099,13
209,"Sutter County, California",06101,13
210,"Tehama County, California",06103,13
211,"Trinity County, California",06105,13
212,"Tulare County, California",06107,0
213,"Tuolumne County, California",06109,13
214,"Ventura County, California",06111,0
215,"Yolo County, California",06113,13
216,"Yuba County, California",06115,13
217,"Adams County, Colorado",08001,52
218,"Alamosa County, Colorado",08003,52
219,"Arapahoe County, Colorado",08005,52
220,"Bent County, Colorado",08011,51
221,"Boulder County, Colorado",08013,52
222,"Broomfield County, Colorado",08014,52
223,"Clear Creek County, Colorado",08019,52
224,"Conejos County, Colorado",08021,52
225,"Costilla County, Colorado",08023,52
226,"Crowley County, Colorado",08025,52
227,"Custer County, Colorado",08027,52
228,"Delta County, Colorado",08029,52
229,"Denver County, Colorado",08031,52
230,"Dolores County, Colorado",08033,15
231,"Douglas County, Colorado",08035,52
232,"Eagle County, Colorado",08037,52
233,"Elbert County, Colorado",08039,52
234,"El Paso County, Colorado",08041,52
235,"Fremont County, Colorado",08043,52
236,"Garfield County, Colorado",08045,52
237,"Gilpin County, Colorado",08047,52
238,"Grand County, Colorado",08049,52
239,"Gunnison County, Colorado",08051,52
240,"Huerfano County, Colorado",08055,52
241,"Jefferson County, Colorado",08059,52
242,"Lake County, Colorado",08065,52
243,"La Plata County, Colorado",08067,15
244,"Larimer County, Colorado",08069,52
245,"Logan County, Colorado",08075,52
246,"Mesa County, Colorado",08077,52
247,"Moffat County, Colorado",08081,52
248,"Montezuma County, Colorado",08083,15
249,"Montrose County, Colorado",08085,52
250,"Morgan County, Colorado",08087,52
251,"Otero County, Colorado",08089,52
252,"Ouray County, Colorado",08091,52
253,"Park County, Colorado",08093,52
254,"Phillips County, Colorado",08095,52
255,"Pitkin County, Colorado",08097,52
256,"Pueblo County, Colorado",08101,52
257,"Rio Blanco County, Colorado",08103,52
258,"Rio Grande County, Colorado",08105,52
259,"Routt County, Colorado",08107,52
260,"Saguache County, Colorado",08109,52
261,"Summit County, Colorado",08117,52
262,"Teller County, Colorado",08119,52
263,"Washington County, Colorado",08121,52
264,"Weld County, Colorado",08123,52
265,"Fairfield County, Connecticut",09001,16
266,"Hartford County, Connecticut",09003,16
267,"Litchfield County, Connecticut",09005,16
268,"Middlesex County, Connecticut",09007,16
269,"New Haven County, Connecticut",09009,16
270,"New London County, Connecticut",09011,16
271,"Tolland County, Connecticut",09013,16
272,"Windham County, Connecticut",09015,16
273,"Kent County, Delaware",10001,23
274,"New Castle County, Delaware",10003,23
275,"Sussex County, Delaware",10005,23
276,"District of Columbia, District of Columbia",11001,25
277,"Alachua County, Florida",12001,1
278,"Baker County, Florida",12003,1
279,"Bay County, Florida",12005,9
280,"Bradford County, Florida",12007,1
281,"Brevard County, Florida",12009,1
282,"Broward County, Florida",12011,1
283,"Calhoun County, Florida",12013,9
284,"Charlotte County, Florida",12015,1
285,"Citrus County, Florida",12017,1
286,"Clay County, Florida",12019,1
287,"Collier County, Florida",12021,1
288,"Columbia County, Florida",12023,1
289,"DeSoto County, Florida",12027,1
290,"Dixie County, Florida",12029,1
291,"Duval County, Florida",12031,1
292,"Escambia County, Florida",12033,9
293,"Flagler County, Florida",12035,1
294,"Franklin County, Florida",12037,9
295,"Gadsden County, Florida",12039,9
296,"Gilchrist County, Florida",12041,1
297,"Glades County, Florida",12043,1
298,"Gulf County, Florida",12045,9
299,"Hamilton County, Florida",12047,1
300,"Hardee County, Florida",12049,1
301,"Hendry County, Florida",12051,1
302,"Hernando County, Florida",12053,1
303,"Highlands County, Florida",12055,1
304,"Hillsborough County, Florida",12057,1
305,"Holmes County, Florida",12059,9
306,"Indian River County, Florida",12061,1
307,"Jackson County, Florida",12063,9
308,"Jefferson County, Florida",12065,9
309,"Lafayette County, Florida",12067,1
310,"Lake County, Florida",12069,1
311,"Lee County, Florida",12071,1
312,"Leon County, Florida",12073,9
313,"Levy County, Florida",12075,1
314,"Liberty County, Florida",12077,9
315,"Madison County, Florida",12079,9
316,"Manatee County, Florida",12081,1
317,"Marion County, Florida",12083,1
318,"Martin County, Florida",12085,1
319,"Miami-Dade County, Florida",12086,1
320,"Monroe County, Florida",12087,1
321,"Nassau County, Florida",12089,1
322,"Okaloosa County, Florida",12091,9
323,"Okeechobee County, Florida",12093,1
324,"Orange County, Florida",12095,1
325,"Osceola County, Florida",12097,1
326,"Palm Beach County, Florida",12099,1
327,"Pasco County, Florida",12101,1
328,"Pinellas County, Florida",12103,1
329,"Polk County, Florida",12105,1
330,"Putnam County, Florida",12107,1
331,"St. Johns County, Florida",12109,1
332,"St. Lucie County, Florida",12111,1
333,"Santa Rosa County, Florida",12113,9
334,"Sarasota County, Florida",12115,1
335,"Seminole County, Florida",12117,1
336,"Sumter County, Florida",12119,1
337,"Suwannee County, Florida",12121,1
338,"Taylor County, Florida",12123,9
339,"Union County, Florida",12125,1
340,"Volusia County, Florida",12127,1
341,"Wakulla County, Florida",12129,9
342,"Walton County, Florida",12131,9
343,"Washington County, Florida",12133,9
344,"Appling County, Georgia",13001,26
345,"Atkinson County, Georgia",13003,2
346,"Bacon County, Georgia",13005,1
347,"Baker County, Georgia",13007,9
348,"Baldwin County, Georgia",13009,2
349,"Banks County, Georgia",13011,2
350,"Barrow County, Georgia",13013,2
351,"Bartow County, Georgia",13015,2
352,"Ben Hill County, Georgia",13017,9
353,"Berrien County, Georgia",13019,9
354,"Bibb County, Georgia",13021,2
355,"Bleckley County, Georgia",13023,2
356,"Brantley County, Georgia",13025,1
357,"Brooks County, Georgia",13027,9
358,"Bryan County, Georgia",13029,26
359,"Bulloch County, Georgia",13031,26
360,"Burke County, Georgia",13033,26
361,"Butts County, Georgia",13035,2
362,"Calhoun County, Georgia",13037,9
363,"Camden County, Georgia",13039,1
364,"Candler County, Georgia",13043,26
365,"Carroll County, Georgia",13045,2
366,"Catoosa County, Georgia",13047,42
367,"Charlton County, Georgia",13049,1
368,"Chatham County, Georgia",13051,26
369,"Chattahoochee County, Georgia",13053,9
370,"Chattooga County, Georgia",13055,2
371,"Cherokee County, Georgia",13057,2
372,"Clarke County, Georgia",13059,2
373,"Clayton County, Georgia",13063,2
374,"Clinch County, Georgia",13065,1
375,"Cobb County, Georgia",13067,2
376,"Coffee County, Georgia",13069,2
377,"Colquitt County, Georgia",13071,9
378,"Columbia County, Georgia",13073,26
379,"Cook County, Georgia",13075,9
380,"Coweta County, Georgia",13077,2
381,"Crawford County, Georgia",13079,2
382,"Crisp County, Georgia",13081,2
383,"Dade County, Georgia",13083,42
384,"Dawson County, Georgia",13085,2
385,"Decatur County, Georgia",13087,9
386,"DeKalb County, Georgia",13089,2
387,"Dodge County, Georgia",13091,2
388,"Dooly County, Georgia",13093,2
389,"Dougherty County, Georgia",13095,9
390,"Douglas County, Georgia",13097,2
391,"Early County, Georgia",13099,9
392,"Echols County, Georgia",13101,9
393,"Effingham County, Georgia",13103,26
394,"Elbert County, Georgia",13105,2
395,"Emanuel County, Georgia",13107,26
396,"Evans County, Georgia",13109,26
397,"Fannin County, Georgia",13111,2
398,"Fayette County, Georgia",13113,2
399,"Floyd County, Georgia",13115,2
400,"Forsyth County, Georgia",13117,2
401,"Franklin County, Georgia",13119,2
402,"Fulton County, Georgia",13121,2
403,"Gilmer County, Georgia",13123,2
404,"Glascock County, Georgia",13125,26
405,"Glynn County, Georgia",13127,1
406,"Gordon County, Georgia",13129,2
407,"Grady County, Georgia",13131,9
408,"Greene County, Georgia",13133,2
409,"Gwinnett County, Georgia",13135,2
410,"Habersham County, Georgia",13137,2
411,"Hall County, Georgia",13139,2
412,"Hancock County, Georgia",13141,2
413,"Haralson County, Georgia",13143,2
414,"Harris County, Georgia",13145,9
415,"Hart County, Georgia",13147,2
416,"Heard County, Georgia",13149,2
417,"Henry County, Georgia",13151,2
418,"Houston County, Georgia",13153,2
419,"Irwin County, Georgia",13155,9
420,"Jackson County, Georgia",13157,2
421,"Jasper County, Georgia",13159,2
422,"Jeff Davis County, Georgia",13161,2
423,"Jefferson County, Georgia",13163,26
424,"Jenkins County, Georgia",13165,26
425,"Johnson County, Georgia",13167,2
426,"Jones County, Georgia",13169,2
