Id,Label,fips,Modularity Class
0,"Autauga County, Alabama",01001,6
1,"Baldwin County, Alabama",01003,6
2,"Barbour County, Alabama",01005,6
3,"Bibb County, Alabama",01007,6
4,"Blount County, Alabama",01009,6
5,"Bullock County, Alabama",01011,6
6,"Butler County, Alabama",01013,6
7,"Calhoun County, Alabama",01015,6
8,"Chambers County, Alabama",01017,6
9,"Cherokee County, Alabama",01019,2
10,"Chilton County, Alabama",01021,6
11,"Choctaw County, Alabama",01023,6
12,"Clarke County, Alabama",01025,6
13,"Clay County, Alabama",01027,6
14,"Cleburne County, Alabama",01029,2
15,"Coffee County, Alabama",01031,6
16,"Colbert County, Alabama",01033,6
17,"Conecuh County, Alabama",01035,6
18,"Coosa County, Alabama",01037,6
19,"Covington County, Alabama",01039,6
20,"Crenshaw County, Alabama",01041,6
21,"Cullman County, Alabama",01043,6
22,"Dale County, Alabama",01045,6
23,"Dallas County, Alabama",01047,6
24,"DeKalb County, Alabama",01049,6
25,"Elmore County, Alabama",01051,6
26,"Escambia County, Alabama",01053,6
27,"Etowah County, Alabama",01055,6
28,"Fayette County, Alabama",01057,6
29,"Franklin County, Alabama",01059,6
30,"Geneva County, Alabama",01061,6
31,"Greene County, Alabama",01063,6
32,"Hale County, Alabama",01065,6
33,"Henry County, Alabama",01067,6
34,"Houston County, Alabama",01069,6
35,"Jackson County, Alabama",01071,2
36,"Jefferson County, Alabama",01073,6
37,"Lamar County, Alabama",01075,6
38,"Lauderdale County, Alabama",01077,6
39,"Lawrence County, Alabama",01079,6
40,"Lee County, Alabama",01081,6
41,"Limestone County, Alabama",01083,6
42,"Lowndes County, Alabama",01085,6
43,"Macon County, Alabama",01087,6
44,"Madison County, Alabama",01089,6
45,"Marengo County, Alabama",01091,6
46,"Marion County, Alabama",01093,6
47,"Marshall County, Alabama",01095,6
48,"Mobile County, Alabama",01097,6
49,"Monroe County, Alabama",01099,6
50,"Montgomery County, Alabama",01101,6
51,"Morgan County, Alabama",01103,6
52,"Perry County, Alabama",01105,6
53,"Pickens County, Alabama",01107,6
54,"Pike County, Alabama",01109,6
55,"Randolph County, Alabama",01111,2
56,"Russell County, Alabama",01113,6
57,"St. Clair County, Alabama",01115,6
58,"Shelby County, Alabama",01117,6
59,"Sumter County, Alabama",01119,6
60,"Talladega County, Alabama",01121,6
61,"Tallapoosa County, Alabama",01123,6
62,"Tuscaloosa County, Alabama",01125,6
63,"Walker County, Alabama",01127,6
64,"Washington County, Alabama",01129,6
65,"Wilcox County, Alabama",01131,6
66,"Winston County, Alabama",01133,6
67,"Aleutians East Borough, Alaska",02013,24
68,"Aleutians West Census Area, Alaska",02016,24
69,"Anchorage Municipality, Alaska",02020,24
70,"Bethel Census Area, Alaska",02050,24
71,"Bristol Bay Borough, Alaska",02060,24
72,"Denali Borough, Alaska",02068,24
73,"Dillingham Census Area, Alaska",02070,24
74,"Fairbanks North Star Borough, Alaska",02090,24
75,"Haines Borough, Alaska",02100,24
76,"Hoonah-Angoon Census Area, Alaska",02105,24
77,"Juneau City and Borough, Alaska",02110,24
78,"Kenai Peninsula Borough, Alaska",02122,24
79,"Ketchikan Gateway Borough, Alaska",02130,24
80,"Kodiak Island Borough, Alaska",02150,24
81,"Lake and Peninsula Borough, Alaska",02164,24
82,"Matanuska-Susitna Borough, Alaska",02170,24
83,"Nome Census Area, Alaska",02180,24
84,"North Slope Borough, Alaska",02185,24
85,"Northwest Arctic Borough, Alaska",02188,24
86,"Petersburg Census Area, Alaska",02195,24
87,"Prince of Wales-Hyder Census Area, Alaska",02198,24
88,"Sitka City and Borough, Alaska",02220,24
89,"Skagway Municipality, Alaska",02230,24
90,"Southeast Fairbanks Census Area, Alaska",02240,24
91,"Valdez-Cordova Census Area, Alaska",02261,24
92,"Wade Hampton Census Area, Alaska",02270,24
93,"Wrangell City and Borough, Alaska",02275,24
94,"Yakutat City and Borough, Alaska",02282,24
95,"Yukon-Koyukuk Census Area, Alaska",02290,24
96,"Apache County, Arizona",04001,0
97,"Cochise County, Arizona",04003,0
98,"Coconino County, Arizona",04005,0
99,"Gila County, Arizona",04007,0
100,"Graham County, Arizona",04009,0
101,"Greenlee County, Arizona",04011,0
102,"La Paz County, Arizona",04012,0
103,"Maricopa County, Arizona",04013,0
104,"Mohave County, Arizona",04015,0
105,"Navajo County, Arizona",04017,0
106,"Pima County, Arizona",04019,0
107,"Pinal County, Arizona",04021,0
108,"Santa Cruz County, Arizona",04023,0
109,"Yavapai County, Arizona",04025,0
110,"Yuma County, Arizona",04027,0
111,"Arkansas County, Arkansas",05001,8
112,"Ashley County, Arkansas",05003,8
113,"Baxter County, Arkansas",05005,8
114,"Benton County, Arkansas",05007,8
115,"Boone County, Arkansas",05009,8
116,"Bradley County, Arkansas",05011,8
117,"Calhoun County, Arkansas",05013,8
118,"Carroll County, Arkansas",05015,8
119,"Chicot County, Arkansas",05017,8
120,"Clark County, Arkansas",05019,8
121,"Clay County, Arkansas",05021,19
122,"Cleburne County, Arkansas",05023,8
123,"Cleveland County, Arkansas",05025,8
124,"Columbia County, Arkansas",05027,8
125,"Conway County, Arkansas",05029,8
126,"Craighead County, Arkansas",05031,19
127,"Crawford County, Arkansas",05033,8
128,"Crittenden County, Arkansas",05035,19
129,"Cross County, Arkansas",05037,19
130,"Dallas County, Arkansas",05039,8
131,"Desha County, Arkansas",05041,8
132,"Drew County, Arkansas",05043,8
133,"Faulkner County, Arkansas",05045,8
134,"Franklin County, Arkansas",05047,8
135,"Fulton County, Arkansas",05049,8
136,"Garland County, Arkansas",05051,8
137,"Grant County, Arkansas",05053,8
138,"Greene County, Arkansas",05055,19
139,"Hempstead County, Arkansas",05057,8
140,"Hot Spring County, Arkansas",05059,8
141,"Howard County, Arkansas",05061,8
142,"Independence County, Arkansas",05063,8
143,"Izard County, Arkansas",05065,8
144,"Jackson County, Arkansas",05067,8
145,"Jefferson County, Arkansas",05069,8
146,"Johnson County, Arkansas",05071,8
147,"Lafayette County, Arkansas",05073,6
148,"Lawrence County, Arkansas",05075,19
149,"Lee County, Arkansas",05077,19
150,"Lincoln County, Arkansas",05079,8
151,"Little River County, Arkansas",05081,8
152,"Logan County, Arkansas",05083,8
153,"Lonoke County, Arkansas",05085,8
154,"Madison County, Arkansas",05087,8
155,"Marion County, Arkansas",05089,8
156,"Miller County, Arkansas",05091,8
157,"Mississippi County, Arkansas",05093,19
158,"Monroe County, Arkansas",05095,19
159,"Montgomery County, Arkansas",05097,8
160,"Nevada County, Arkansas",05099,8
161,"Newton County, Arkansas",05101,8
162,"Ouachita County, Arkansas",05103,8
163,"Perry County, Arkansas",05105,8
164,"Phillips County, Arkansas",05107,19
165,"Pike County, Arkansas",05109,8
166,"Poinsett County, Arkansas",05111,19
167,"Polk County, Arkansas",05113,8
168,"Pope County, Arkansas",05115,8
169,"Prairie County, Arkansas",05117,8
170,"Pulaski County, Arkansas",05119,8
171,"Randolph County, Arkansas",05121,19
172,"St. Francis County, Arkansas",05123,19
173,"Saline County, Arkansas",05125,8
174,"Scott County, Arkansas",05127,8
175,"Searcy County, Arkansas",05129,8
176,"Sebastian County, Arkansas",05131,8
177,"Sevier County, Arkansas",05133,8
178,"Sharp County, Arkansas",05135,8
179,"Stone County, Arkansas",05137,8
180,"Union County, Arkansas",05139,8
181,"Van Buren County, Arkansas",05141,8
182,"Washington County, Arkansas",05143,8
183,"White County, Arkansas",05145,8
184,"Woodruff County, Arkansas",05147,8
185,"Yell County, Arkansas",05149,8
186,"Alameda County, California",06001,10
187,"Alpine County, California",06003,10
188,"Amador County, California",06005,10
189,"Butte County, California",06007,10
190,"Calaveras County, California",06009,10
191,"Colusa County, California",06011,10
192,"Contra Costa County, California",06013,10
193,"Del Norte County, California",06015,10
194,"El Dorado County, California",06017,10
195,"Fresno County, California",06019,0
196,"Glenn County, California",06021,10
197,"Humboldt County, California",06023,10
198,"Imperial County, California",06025,0
199,"Inyo County, California",06027,10
200,"Kern County, California",06029,0
201,"Kings County, California",06031,0
202,"Lake County, California",06033,10
203,"Lassen County, California",06035,10
204,"Los Angeles County, California",06037,0
205,"Madera County, California",06039,0
206,"Marin County, California",06041,10
207,"Mariposa County, California",06043,10
208,"Mendocino County, California",06045,10
209,"Merced County, California",06047,10
210,"Modoc County, California",06049,10
211,"Mono County, California",06051,10
212,"Monterey County, California",06053,10
213,"Napa County, California",06055,10
214,"Nevada County, California",06057,10
215,"Orange County, California",06059,0
216,"Placer County, California",06061,10
217,"Plumas County, California",06063,10
218,"Riverside County, California",06065,0
219,"Sacramento County, California",06067,10
220,"San Benito County, California",06069,10
221,"San Bernardino County, California",06071,0
222,"San Diego County, California",06073,0
223,"San Francisco County, California",06075,10
224,"San Joaquin County, California",06077,10
225,"San Luis Obispo County, California",06079,0
226,"San Mateo County, California",06081,10
227,"Santa Barbara County, California",06083,0
228,"Santa Clara County, California",06085,10
229,"Santa Cruz County, California",06087,10
230,"Shasta County, California",06089,10
231,"Sierra County, California",06091,10
232,"Siskiyou County, California",06093,10
233,"Solano County, California",06095,10
234,"Sonoma County, California",06097,10
235,"Stanislaus County, California",06099,10
236,"Sutter County, California",06101,10
237,"Tehama County, California",06103,10
238,"Trinity County, California",06105,10
239,"Tulare County, California",06107,0
240,"Tuolumne County, California",06109,10
241,"Ventura County, California",06111,0
242,"Yolo County, California",06113,10
243,"Yuba County, California",06115,10
244,"Adams County, Colorado",08001,28
245,"Alamosa County, Colorado",08003,28
246,"Arapahoe County, Colorado",08005,28
247,"Archuleta County, Colorado",08007,0
248,"Baca County, Colorado",08009,28
249,"Bent County, Colorado",08011,28
250,"Boulder County, Colorado",08013,28
251,"Broomfield County, Colorado",08014,28
252,"Chaffee County, Colorado",08015,28
253,"Cheyenne County, Colorado",08017,28
254,"Clear Creek County, Colorado",08019,28
255,"Conejos County, Colorado",08021,28
256,"Costilla County, Colorado",08023,28
257,"Crowley County, Colorado",08025,28
258,"Custer County, Colorado",08027,28
259,"Delta County, Colorado",08029,28
260,"Denver County, Colorado",08031,28
261,"Dolores County, Colorado",08033,0
