Id,Label,fips,Modularity Class
0,"Autauga County, Alabama",01001,1
1,"Baldwin County, Alabama",01003,27
2,"Bibb County, Alabama",01007,1
3,"Blount County, Alabama",01009,1
4,"Calhoun County, Alabama",01015,1
5,"Chambers County, Alabama",01017,1
6,"Chilton County, Alabama",01021,1
7,"Coffee County, Alabama",01031,0
8,"Colbert County, Alabama",01033,1
9,"Coosa County, Alabama",01037,1
10,"Crenshaw County, Alabama",01041,1
11,"Cullman County, Alabama",01043,1
12,"Dale County, Alabama",01045,0
13,"DeKalb County, Alabama",01049,1
14,"Elmore County, Alabama",01051,1
15,"Etowah County, Alabama",01055,1
16,"Fayette County, Alabama",01057,1
17,"Franklin County, Alabama",01059,1
18,"Geneva County, Alabama",01061,0
19,"Hale County, Alabama",01065,1
20,"Henry County, Alabama",01067,0
21,"Houston County, Alabama",01069,0
22,"Jackson County, Alabama",01071,1
23,"Jefferson County, Alabama",01073,1
24,"Lauderdale County, Alabama",01077,1
25,"Lawrence County, Alabama",01079,1
26,"Lee County, Alabama",01081,1
27,"Limestone County, Alabama",01083,1
28,"Lowndes County, Alabama",01085,1
29,"Macon County, Alabama",01087,1
30,"Madison County, Alabama",01089,1
31,"Marshall County, Alabama",01095,1
32,"Mobile County, Alabama",01097,27
33,"Montgomery County, Alabama",01101,1
34,"Morgan County, Alabama",01103,1
35,"Pickens County, Alabama",01107,1
36,"Russell County, Alabama",01113,1
37,"St. Clair County, Alabama",01115,1
38,"Shelby County, Alabama",01117,1
39,"Talladega County, Alabama",01121,1
40,"Tallapoosa County, Alabama",01123,1
41,"Tuscaloosa County, Alabama",01125,1
42,"Walker County, Alabama",01127,1
43,"Matanuska-Susitna Borough, Alaska",02170,85
44,"Apache County, Arizona",04001,86
45,"Cochise County, Arizona",04003,87
46,"Maricopa County, Arizona",04013,87
47,"Mohave County, Arizona",04015,87
48,"Pima County, Arizona",04019,87
49,"Pinal County, Arizona",04021,87
50,"Yavapai County, Arizona",04025,87
51,"Benton County, Arkansas",05007,5
52,"Clay County, Arkansas",05021,2
53,"Cleveland County, Arkansas",05025,3
54,"Conway County, Arkansas",05029,3
55,"Craighead County, Arkansas",05031,2
56,"Crawford County, Arkansas",05033,4
57,"Crittenden County, Arkansas",05035,54
58,"Faulkner County, Arkansas",05045,3
59,"Garland County, Arkansas",05051,3
60,"Grant County, Arkansas",05053,3
61,"Greene County, Arkansas",05055,2
62,"Hot Spring County, Arkansas",05059,3
63,"Jefferson County, Arkansas",05069,3
64,"Lawrence County, Arkansas",05075,2
65,"Little River County, Arkansas",05081,57
66,"Logan County, Arkansas",05083,4
67,"Lonoke County, Arkansas",05085,3
68,"Madison County, Arkansas",05087,5
69,"Marion County, Arkansas",05089,88
70,"Miller County, Arkansas",05091,57
71,"Newton County, Arkansas",05101,89
72,"Perry County, Arkansas",05105,3
73,"Poinsett County, Arkansas",05111,2
74,"Pulaski County, Arkansas",05119,3
75,"Saline County, Arkansas",05125,3
76,"Sebastian County, Arkansas",05131,4
77,"Sharp County, Arkansas",05135,90
78,"Washington County, Arkansas",05143,5
79,"White County, Arkansas",05145,3
80,"Yell County, Arkansas",05149,91
81,"Alameda County, California",06001,6
82,"Amador County, California",06005,6
83,"Butte County, California",06007,6
84,"Calaveras County, California",06009,6
85,"Contra Costa County, California",06013,6
86,"El Dorado County, California",06017,6
87,"Fresno County, California",06019,87
88,"Glenn County, California",06021,6
89,"Kern County, California",06029,87
90,"Kings County, California",06031,87
91,"Lake County, California",06033,6
92,"Los Angeles County, California",06037,87
93,"Madera County, California",06039,87
94,"Marin County, California",06041,6
95,"Merced County, California",06047,6
96,"Monterey County, California",06053,6
97,"Napa County, California",06055,6
98,"Nevada County, California",06057,6
99,"Orange County, California",06059,87
100,"Placer County, California",06061,6
101,"Riverside County, California",06065,87
102,"Sacramento County, California",06067,6
103,"San Benito County, California",06069,6
104,"San Bernardino County, California",06071,87
105,"San Diego County, California",06073,87
106,"San Francisco County, California",06075,6
107,"San Joaquin County, California",06077,6
108,"San Luis Obispo County, California",06079,87
109,"San Mateo County, California",06081,6
110,"Santa Barbara County, California",06083,87
111,"Santa Clara County, California",06085,6
112,"Santa Cruz County, California",06087,6
113,"Shasta County, California",06089,6
114,"Solano County, California",06095,6
115,"Sonoma County, California",06097,6
116,"Stanislaus County, California",06099,6
117,"Sutter County, California",06101,6
118,"Tehama County, California",06103,6
119,"Tulare County, California",06107,87
120,"Ventura County, California",06111,87
121,"Yolo County, California",06113,6
122,"Yuba County, California",06115,6
123,"Adams County, Colorado",08001,7
124,"Arapahoe County, Colorado",08005,7
125,"Boulder County, Colorado",08013,7
126,"Broomfield County, Colorado",08014,7
127,"Clear Creek County, Colorado",08019,7
128,"Conejos County, Colorado",08021,92
129,"Denver County, Colorado",08031,7
