"STATEFP","COUNTYFP","COUNTYNS","GEOID","NAME","NAMELSAD","LSAD","CLASSFP","MTFCC","CSAFP","CBSAFP","METDIVFP","FUNCSTAT","ALAND","AWATER","INTPTLAT","INTPTLON","fips"
"31","039","00835841","31039","Cuming","Cuming County","06","H1","G4020",NA,NA,NA,"A",1477895811,10447360,"+41.9158651","-096.7885168","31039"
"53","069","01513275","53069","Wahkiakum","Wahkiakum County","06","H1","G4020",NA,NA,NA,"A",682138871,61658258,"+46.2946377","-123.4244583","53069"
"35","011","00933054","35011","De Baca","De Baca County","06","H1","G4020",NA,NA,NA,"A",6015539696,29159492,"+34.3592729","-104.3686961","35011"
"31","109","00835876","31109","Lancaster","Lancaster County","06","H1","G4020","339","30700",NA,"A",2169240202,22877180,"+40.7835474","-096.6886584","31109"
"31","129","00835886","31129","Nuckolls","Nuckolls County","06","H1","G4020",NA,NA,NA,"A",1489645187,1718484,"+40.1764918","-098.0468422","31129"
"72","085","01804523","72085","Las Piedras","Las Piedras Municipio","13","H1","G4020","490","41980",NA,"A",87748363,32509,"+18.1871483","-065.8711890","72085"
"46","099","01265772","46099","Minnehaha","Minnehaha County","06","H1","G4020",NA,"43620",NA,"A",2090540341,17349847,"+43.6674723","-096.7957261","46099"
"48","327","01383949","48327","Menard","Menard County","06","H1","G4020",NA,NA,NA,"A",2336245914,613559,"+30.8843655","-099.8539896","48327"
"06","091","00277310","06091","Sierra","Sierra County","06","H1","G4020",NA,NA,NA,"A",2468686374,23299110,"+39.5769252","-120.5219926","06091"
"21","053","00516873","21053","Clinton","Clinton County","06","H1","G4020",NA,NA,NA,"A",510864252,21164150,"+36.7288647","-085.1534262","21053"
"39","063","01074044","39063","Hancock","Hancock County","06","H1","G4020","248","22300",NA,"A",1376210232,5959837,"+41.0004711","-083.6660335","39063"
"48","189","01383880","48189","Hale","Hale County","06","H1","G4020",NA,"38380",NA,"A",2602115649,246678,"+34.0684364","-101.8228879","48189"
"01","027","00161539","01027","Clay","Clay County","06","H1","G4020",NA,NA,NA,"A",1564252367,5284573,"+33.2703999","-085.8635254","01027"
"48","011","01383791","48011","Armstrong","Armstrong County","06","H1","G4020","108","11100",NA,"A",2354581764,12219587,"+34.9641790","-101.3566363","48011"
"39","003","01074015","39003","Allen","Allen County","06","H1","G4020","338","30620",NA,"A",1042470093,11266164,"+40.7716274","-084.1061032","39003"
"13","189","00348794","13189","McDuffie","McDuffie County","06","H1","G4020",NA,"12260",NA,"A",666816637,23116292,"+33.4824637","-082.4731880","13189"
"55","111","01581115","55111","Sauk","Sauk County","06","H1","G4020","357","12660",NA,"A",2152007753,45296336,"+43.4279976","-089.9433290","55111"
"05","137","00069902","05137","Stone","Stone County","06","H1","G4020",NA,NA,NA,"A",1570579427,7841929,"+35.8570312","-092.1405728","05137"
"41","063","01155135","41063","Wallowa","Wallowa County","06","H1","G4020",NA,NA,NA,"A",8148602810,14199330,"+45.5937530","-117.1855796","41063"
"42","007","01214112","42007","Beaver","Beaver County","06","H1","G4020","430","38300",NA,"A",1125901160,24165972,"+40.6841401","-080.3507209","42007"
"28","061","00695754","28061","Jasper","Jasper County","06","H1","G4020",NA,"29860",NA,"A",1751444104,3181592,"+32.0169894","-089.1194302","28061"
"29","083","00758496","29083","Henry","Henry County","06","H1","G4020",NA,NA,NA,"A",1805075858,91636450,"+38.3864909","-093.7926278","29083"
"08","109","00198170","08109","Saguache","Saguache County","06","H1","G4020",NA,NA,NA,"A",8207137045,4454510,"+38.0316514","-106.2346662","08109"
"37","037","01008544","37037","Chatham","Chatham County","06","H1","G4020","450","20500",NA,"A",1767036794,71417554,"+35.7049939","-079.2514542","37037"
"49","033","01448030","49033","Rich","Rich County","06","H1","G4020",NA,NA,NA,"A",2664700973,149109879,"+41.6275976","-111.2402269","49033"
"40","001","01101788","40001","Adair","Adair County","06","H1","G4020",NA,NA,NA,"A",1485305065,9254749,"+35.8980428","-094.6510258","40001"
"39","085","01074055","39085","Lake","Lake County","06","H1","G4020","184","17460",NA,"A",590615709,1945490689,"+41.9241163","-081.3926429","39085"
"51","775","01789074","51775","Salem","Salem city","25","C7","G4020",NA,"40220",NA,"F",37400253,263080,"+37.2853329","-080.0552407","51775"
"51","121","01674630","51121","Montgomery","Montgomery County","06","H1","G4020",NA,"13980",NA,"A",1001065265,5807436,"+37.1755344","-080.3877913","51121"
"47","065","01639749","47065","Hamilton","Hamilton County","06","H1","G4020","174","16860",NA,"A",1404937551,86586076,"+35.1591860","-085.2022955","47065"
"35","035","00929104","35035","Otero","Otero County","06","H1","G4020",NA,"10460",NA,"A",17128142410,37012231,"+32.5887764","-105.7810785","35035"
"35","003","00929108","35003","Catron","Catron County","06","H1","G4020",NA,NA,NA,"A",17932266958,14191043,"+33.9018583","-108.3920882","35003"
"01","091","00161572","01091","Marengo","Marengo County","06","H1","G4020",NA,NA,NA,"A",2530112315,14994544,"+32.2475911","-087.7910910","01091"
"56","023","01605076","56023","Lincoln","Lincoln County","06","H1","G4020",NA,NA,NA,"A",10557370099,49925437,"+42.2299932","-110.6829614","56023"
"29","011","00758460","29011","Barton","Barton County","06","H1","G4020",NA,NA,NA,"A",1533067873,12434943,"+37.5007989","-094.3440893","29011"
"48","057","01383814","48057","Calhoun","Calhoun County","06","H1","G4020","544","38920",NA,"A",1312707083,1361903486,"+28.4417191","-096.5795739","48057"
"51","735","01498436","51735","Poquoson","Poquoson city","25","C7","G4020","545","47260",NA,"F",39850781,163450029,"+37.1283599","-076.3035337","51735"
"54","075","01550044","54075","Pocahontas","Pocahontas County","06","H1","G4020",NA,NA,NA,"A",2435344905,3978619,"+38.3326060","-080.0101207","54075"
"48","077","01383824","48077","Clay","Clay County","06","H1","G4020",NA,"48660",NA,"A",2819780889,72591143,"+33.7859042","-098.2129174","48077"
"51","095","01480135","51095","James City","James City County","06","H1","G4020","545","47260",NA,"A",368966992,95299777,"+37.3248367","-076.7778878","51095"
"31","101","00835872","31101","Keith","Keith County","06","H1","G4020",NA,NA,NA,"A",2749565257,124671559,"+41.1942448","-101.6444493","31101"
"31","137","00835890","31137","Phelps","Phelps County","06","H1","G4020",NA,NA,NA,"A",1398048578,1646534,"+40.5163647","-099.4065568","31137"
"22","019","00558468","22019","Calcasieu","Calcasieu Parish","15","H1","G4020",NA,"29340",NA,"A",2754925000,79222012,"+30.2295588","-093.3580154","22019"
"22","111","00559528","22111","Union","Union Parish","15","H1","G4020","384","33740",NA,"A",2271389438,73594418,"+32.8293486","-092.3756501","22111"
"40","135","01101855","40135","Sequoyah","Sequoyah County","06","H1","G4020",NA,"22900",NA,"A",1743779423,105832791,"+35.5024345","-094.7507569","40135"
"01","049","00161550","01049","DeKalb","DeKalb County","06","H1","G4020",NA,NA,NA,"A",2012664317,4121538,"+34.4609290","-085.8039920","01049"
"36","101","00974148","36101","Steuben","Steuben County","06","H1","G4020","236","18500",NA,"A",3601566799,34993606,"+42.2667252","-077.3855253","36101"
"42","053","01213669","42053","Forest","Forest County","06","H1","G4020",NA,NA,NA,"A",1106625250,8355296,"+41.5133040","-079.2497050","42053"
"22","105","00559500","22105","Tangipahoa","Tangipahoa Parish","15","H1","G4020","406","25220",NA,"A",2049504791,136674364,"+30.6215802","-090.4066329","22105"
"51","179","01480173","51179","Stafford","Stafford County","06","H1","G4020","548","47900","47894","A",696835101,28176074,"+38.4153856","-077.4548719","51179"
"26","109","01622997","26109","Menominee","Menominee County","06","H1","G4020",NA,"31940",NA,"A",2704052106,761789485,"+45.5382374","-087.4929489","26109"
"18","073","00450494","18073","Jasper","Jasper County","06","H1","G4020","176","16980","23844","A",1449431946,4560470,"+41.0176883","-087.1188137","18073"
